ANO,MES,DIA,ID,C,R,X
2016,1,3,1,43920.0,1.0,1
2016,1,4,2,42500.0,1.0,-1
2016,1,5,3,42935.0,-1.0,-1
2016,1,6,4,42115.0,1.0,1
2016,1,7,5,41145.0,1.0,1
2016,1,10,6,40800.0,1.0,1
2016,1,11,7,40255.0,1.0,1
2016,1,12,8,39945.0,1.0,1
2016,1,13,9,39215.0,1.0,-1
2016,1,14,10,39815.0,-1.0,1
2016,1,17,11,38960.0,1.0,1
2016,1,18,12,38340.0,1.0,1
2016,1,19,13,38360.0,1.0,1
2016,1,20,14,37995.0,-1.0,-1
2016,1,21,15,38040.0,-1.0,1
2016,1,25,16,38240.0,1.0,1
2016,1,26,17,37610.0,1.0,-1
2016,1,27,18,38570.0,-1.0,1
2016,1,28,19,38790.0,-1.0,-1
2016,2,0,20,40565.0,-1.0,1
2016,2,1,21,40735.0,-1.0,1
2016,2,2,22,38540.0,1.0,-1
2016,2,3,23,39660.0,-1.0,1
2016,2,4,24,40990.0,-1.0,-1
2016,2,10,25,40400.0,-1.0,1
2016,2,11,26,39335.0,1.0,1
2016,2,14,27,39980.0,-1.0,1
2016,2,15,28,40160.0,1.0,-1
2016,2,16,29,41020.0,-1.0,-1
2016,2,17,30,42100.0,-1.0,-1
2016,2,18,31,42040.0,-1.0,-1
2016,2,21,32,42070.0,-1.0,-1
2016,2,22,33,43955.0,-1.0,1
2016,2,23,34,43060.0,1.0,-1
2016,2,24,35,42700.0,-1.0,-1
2016,2,25,36,42490.0,1.0,1
2016,2,28,37,42030.0,1.0,-1
2016,3,0,38,43260.0,-1.0,-1
2016,3,1,39,44780.0,-1.0,-1
2016,3,2,40,45350.0,-1.0,-1
2016,3,3,41,47770.0,-1.0,-1
2016,3,6,42,49700.0,1.0,1
2016,3,7,43,49790.0,-1.0,-1
2016,3,8,44,49760.0,-1.0,1
2016,3,9,45,49275.0,1.0,1
2016,3,10,46,50100.0,-1.0,1
2016,3,13,47,50100.0,1.0,1
2016,3,14,48,48800.0,1.0,-1
2016,3,15,49,47610.0,1.0,-1
2016,3,16,50,48560.0,-1.0,1
2016,3,17,51,51800.0,-1.0,1
2016,3,20,52,51030.0,1.0,-1
2016,3,21,53,51500.0,-1.0,-1
2016,3,22,54,51600.0,-1.0,1
2016,3,23,55,49580.0,1.0,-1
2016,3,27,56,50050.0,-1.0,1
2016,3,28,57,51290.0,-1.0,1
2016,3,29,58,51430.0,-1.0,-1
2016,3,30,59,51310.0,1.0,1
2016,4,0,60,50310.0,1.0,-1
2016,4,3,61,50700.0,-1.0,1
2016,4,4,62,48535.0,1.0,-1
2016,4,5,63,48905.0,-1.0,-1
2016,4,6,64,48355.0,1.0,1
2016,4,7,65,48600.0,-1.0,-1
2016,4,10,66,50510.0,-1.0,1
2016,4,11,67,50075.0,1.0,-1
2016,4,12,68,52275.0,-1.0,1
2016,4,13,69,53515.0,1.0,1
2016,4,14,70,53700.0,1.0,-1
2016,4,17,71,54185.0,1.0,1
2016,4,18,72,53700.0,1.0,-1
2016,4,19,73,54665.0,-1.0,-1
2016,4,21,74,54515.0,-1.0,-1
2016,4,24,75,53950.0,-1.0,1
2016,4,25,76,52670.0,1.0,-1
2016,4,26,77,54200.0,-1.0,-1
2016,4,27,78,55670.0,-1.0,1
2016,4,28,79,55450.0,-1.0,1
2016,5,1,80,54550.0,1.0,1
2016,5,2,81,54250.0,1.0,1
2016,5,3,82,53070.0,1.0,-1
2016,5,4,83,53400.0,-1.0,1
2016,5,5,84,52555.0,1.0,-1
2016,5,8,85,52385.0,1.0,1
2016,5,9,86,51650.0,1.0,-1
2016,5,10,87,54155.0,-1.0,1
2016,5,11,88,53160.0,1.0,1
2016,5,12,89,53730.0,1.0,1
2016,5,15,90,51880.0,1.0,-1
2016,5,16,91,52300.0,-1.0,1
