ANO,MES,DIA,ID,C,R,X
2019,1,1,1,88205.0,-1.0,-1
2019,1,2,2,91590.0,-1.0,-1
2019,1,3,3,91765.0,-1.0,1
2019,1,6,4,92440.0,-1.0,-1
2019,1,7,5,92245.0,1.0,1
2019,1,8,6,92660.0,1.0,-1
2019,1,9,7,94155.0,-1.0,-1
2019,1,10,8,94370.0,-1.0,1
2019,1,13,9,94060.0,1.0,-1
2019,1,14,10,94820.0,-1.0,1
2019,1,15,11,94580.0,1.0,1
2019,1,16,12,94795.0,1.0,-1
2019,1,17,13,95770.0,-1.0,-1
2019,1,20,14,96280.0,-1.0,1
2019,1,21,15,96580.0,-1.0,1
2019,1,22,16,95100.0,1.0,-1
2019,1,23,17,96775.0,-1.0,-1
2019,1,27,18,97935.0,-1.0,1
2019,1,28,19,95600.0,1.0,-1
2019,1,29,20,95755.0,-1.0,1
2019,1,30,21,97150.0,-1.0,-1
2019,2,0,22,97730.0,-1.0,-1
2019,2,3,23,98065.0,-1.0,1
2019,2,4,24,98465.0,1.0,1
2019,2,5,25,98445.0,1.0,1
2019,2,6,26,94700.0,1.0,-1
2019,2,7,27,94435.0,1.0,-1
2019,2,10,28,95070.0,-1.0,1
2019,2,11,29,94365.0,1.0,-1
2019,2,12,30,95955.0,-1.0,1
2019,2,13,31,96895.0,1.0,1
2019,2,14,32,99000.0,-1.0,1
2019,2,17,33,98270.0,1.0,1
2019,2,18,34,97395.0,1.0,-1
2019,2,19,35,98230.0,-1.0,-1
2019,2,20,36,97590.0,1.0,1
2019,2,21,37,97810.0,1.0,-1
2019,2,24,38,98630.0,-1.0,1
2019,2,25,39,98050.0,1.0,-1
2019,2,26,40,98250.0,-1.0,1
2019,2,27,41,97950.0,1.0,1
2019,3,0,42,95950.0,1.0,1
2019,3,6,43,94670.0,1.0,1
2019,3,7,44,95160.0,-1.0,1
2019,3,10,45,95935.0,-1.0,-1
2019,3,11,46,98600.0,-1.0,1
2019,3,12,47,98445.0,-1.0,-1
2019,3,13,48,99150.0,-1.0,1
2019,3,14,49,99035.0,1.0,-1
2019,3,17,50,99245.0,1.0,-1
2019,3,18,51,100550.0,-1.0,1
2019,3,19,52,99895.0,1.0,1
2019,3,20,53,97800.0,1.0,1
2019,3,21,54,97175.0,1.0,-1
2019,3,24,55,93545.0,1.0,-1
2019,3,25,56,94065.0,-1.0,1
2019,3,26,57,95115.0,-1.0,1
2019,3,27,58,90580.0,1.0,-1
2019,3,28,59,94650.0,-1.0,1
2019,4,0,60,95340.0,-1.0,1
2019,4,1,61,96145.0,1.0,1
2019,4,2,62,95685.0,1.0,1
2019,4,3,63,95000.0,1.0,1
2019,4,4,64,96620.0,-1.0,1
2019,4,7,65,97400.0,-1.0,1
2019,4,8,66,97500.0,-1.0,1
2019,4,9,67,96390.0,1.0,1
2019,4,10,68,95900.0,1.0,1
2019,4,11,69,95125.0,1.0,-1
2019,4,14,70,93050.0,1.0,1
2019,4,15,71,93010.0,1.0,-1
2019,4,16,72,94475.0,-1.0,1
2019,4,17,73,94345.0,1.0,1
2019,4,21,74,95000.0,-1.0,1
2019,4,22,75,95350.0,-1.0,-1
2019,4,23,76,96720.0,-1.0,1
2019,4,24,77,95815.0,1.0,1
2019,4,25,78,97090.0,-1.0,1
2019,4,28,79,96860.0,1.0,1
2019,4,29,80,96810.0,1.0,1
2019,5,1,81,97005.0,1.0,1
2019,5,2,82,96085.0,1.0,-1
2019,5,5,83,96535.0,-1.0,-1
2019,5,6,84,95240.0,1.0,1
2019,5,7,85,95325.0,-1.0,-1
2019,5,8,86,95950.0,-1.0,1
2019,5,9,87,95205.0,1.0,1
2019,5,12,88,94300.0,1.0,-1
2019,5,13,89,91010.0,1.0,1
2019,5,14,90,92290.0,-1.0,1
2019,5,15,91,91545.0,1.0,1
2019,5,16,92,90395.0,1.0,-1
2019,5,19,93,90685.0,-1.0,-1
2019,5,20,94,92690.0,-1.0,1
2019,5,21,95,94955.0,-1.0,1
2019,5,22,96,94950.0,-1.0,1
2019,5,23,97,94400.0,-1.0,1
2019,5,26,98,93645.0,1.0,-1
2019,5,27,99,95250.0,-1.0,-1
2019,5,28,100,96625.0,-1.0,-1
2019,5,29,101,96520.0,-1.0,-1
2019,5,30,102,97795.0,-1.0,-1
2019,6,2,103,97095.0,-1.0,1
2019,6,3,104,97245.0,-1.0,1
2019,6,4,105,97715.0,-1.0,1
2019,6,5,106,96395.0,1.0,1
2019,6,6,107,96895.0,-1.0,-1
2019,6,9,108,98020.0,-1.0,1
2019,6,10,109,97225.0,1.0,-1
2019,6,11,110,99115.0,-1.0,1
2019,6,12,111,99490.0,1.0,1
2019,6,13,112,100015.0,-1.0,1
2019,6,16,113,98635.0,1.0,-1
2019,6,17,114,98600.0,1.0,-1
2019,6,18,115,100515.0,-1.0,-1
2019,6,20,116,101390.0,-1.0,-1
2019,6,23,117,102905.0,-1.0,1
2019,6,24,118,102990.0,-1.0,1
2019,6,25,119,100510.0,1.0,-1
2019,6,26,120,101370.0,1.0,1
2019,6,27,121,101445.0,-1.0,1
2019,7,0,122,101390.0,1.0,1
2019,7,1,123,102160.0,1.0,1
2019,7,2,124,101200.0,1.0,-1
2019,7,3,125,102670.0,-1.0,-1
2019,7,4,126,104100.0,-1.0,1
2019,7,7,127,104900.0,-1.0,-1
2019,7,9,128,105290.0,-1.0,-1
2019,7,10,129,106205.0,-1.0,1
2019,7,11,130,105665.0,1.0,1
2019,7,14,131,104495.0,1.0,1
2019,7,15,132,104690.0,1.0,1
2019,7,16,133,104365.0,1.0,1
2019,7,17,134,104330.0,1.0,-1
2019,7,18,135,105375.0,-1.0,1
2019,7,21,136,103680.0,1.0,-1
2019,7,22,137,104465.0,-1.0,1
2019,7,23,138,104360.0,1.0,-1
2019,7,24,139,104250.0,-1.0,1
2019,7,25,140,102995.0,1.0,1
2019,7,28,141,103090.0,1.0,-1
2019,7,29,142,103960.0,-1.0,1
2019,7,30,143,103200.0,1.0,1
2019,8,0,144,102000.0,1.0,-1
2019,8,1,145,102035.0,1.0,-1
2019,8,4,146,102915.0,-1.0,1
2019,8,5,147,99970.0,1.0,-1
2019,8,6,148,102365.0,-1.0,1
2019,8,7,149,102870.0,-1.0,1
2019,8,8,150,104475.0,-1.0,-1
2019,8,11,151,103950.0,1.0,1
2019,8,12,152,101685.0,1.0,-1
2019,8,13,153,103555.0,-1.0,1
2019,8,14,154,100915.0,1.0,1
2019,8,15,155,99900.0,1.0,1
2019,8,18,156,100900.0,-1.0,1
2019,8,19,157,100185.0,1.0,1
2019,8,20,158,99740.0,1.0,1
2019,8,21,159,102140.0,-1.0,1
2019,8,22,160,100820.0,1.0,1
2019,8,25,161,98350.0,1.0,1
2019,8,26,162,95895.0,1.0,-1
2019,8,27,163,97820.0,-1.0,-1
2019,8,28,164,98445.0,-1.0,-1
2019,8,29,165,101545.0,-1.0,1
2019,9,1,166,102225.0,-1.0,1
2019,9,2,167,101375.0,1.0,-1
2019,9,3,168,100450.0,1.0,1
2019,9,4,169,101595.0,1.0,-1
2019,9,5,170,102570.0,-1.0,-1
2019,9,8,171,103550.0,-1.0,-1
2019,9,9,172,103830.0,1.0,1
2019,9,10,173,103450.0,1.0,1
2019,9,11,174,104080.0,-1.0,1
2019,9,12,175,104600.0,1.0,1
2019,9,15,176,103885.0,1.0,1
2019,9,16,177,104155.0,-1.0,-1
2019,9,17,178,105200.0,-1.0,1
2019,9,18,179,104910.0,1.0,-1
2019,9,19,180,104770.0,1.0,1
2019,9,22,181,104950.0,1.0,-1
2019,9,23,182,105010.0,-1.0,1
2019,9,24,183,104200.0,1.0,1
2019,9,25,184,104700.0,-1.0,-1
2019,9,26,185,105335.0,-1.0,1
2019,9,29,186,105495.0,1.0,1
2019,10,0,187,105115.0,1.0,1
2019,10,1,188,104065.0,1.0,1
2019,10,2,189,101080.0,1.0,1
2019,10,3,190,101580.0,-1.0,1
2019,10,6,191,102440.0,-1.0,1
2019,10,7,192,100605.0,1.0,-1
2019,10,8,193,99820.0,1.0,1
2019,10,9,194,101400.0,-1.0,-1
2019,10,10,195,102300.0,-1.0,-1
2019,10,13,196,103530.0,-1.0,-1
2019,10,14,197,104450.0,-1.0,-1
2019,10,15,198,104065.0,1.0,1
2019,10,16,199,106085.0,-1.0,1
2019,10,17,200,105940.0,1.0,1
2019,10,20,201,105300.0,1.0,-1
2019,10,21,202,106960.0,-1.0,-1
2019,10,22,203,107700.0,-1.0,-1
2019,10,23,204,108200.0,-1.0,1
2019,10,24,205,107820.0,1.0,-1
2019,10,27,206,108080.0,-1.0,-1
2019,10,28,207,108540.0,-1.0,1
2019,10,29,208,108370.0,1.0,1
2019,10,30,209,109000.0,-1.0,1
2019,11,0,210,107605.0,1.0,-1
2019,11,3,211,108970.0,-1.0,-1
2019,11,4,212,109335.0,1.0,1
2019,11,5,213,109165.0,1.0,-1
2019,11,6,214,108900.0,1.0,-1
2019,11,7,215,109935.0,-1.0,1
2019,11,10,216,107900.0,1.0,-1
2019,11,11,217,108825.0,-1.0,1
2019,11,12,218,106935.0,1.0,-1
2019,11,13,219,106600.0,1.0,-1
2019,11,17,220,106955.0,-1.0,1
2019,11,18,221,106550.0,1.0,1
2019,11,20,222,106160.0,1.0,-1
2019,11,21,223,108000.0,-1.0,-1
2019,11,24,224,108940.0,-1.0,1
2019,11,25,225,108600.0,1.0,1
2019,11,26,226,107675.0,1.0,1
2019,11,27,227,107930.0,-1.0,-1
2019,11,28,228,108600.0,-1.0,1
2019,12,1,229,108430.0,-1.0,-1
2019,12,2,230,108995.0,-1.0,1
2019,12,3,231,109160.0,-1.0,-1
2019,12,4,232,110460.0,-1.0,-1
2019,12,5,233,110715.0,-1.0,-1
2019,12,8,234,111135.0,-1.0,1
2019,12,9,235,111155.0,-1.0,1
2019,12,10,236,110785.0,1.0,1
2019,12,11,237,111055.0,-1.0,-1
2019,12,12,238,112285.0,-1.0,1
2019,12,15,239,112720.0,-1.0,1
2019,12,16,240,112150.0,1.0,-1
2019,12,17,241,112530.0,-1.0,-1
2019,12,18,242,114980.0,-1.0,-1
2019,12,19,243,115785.0,-1.0,1
2019,12,22,244,115750.0,-1.0,-1
2019,12,25,245,116380.0,-1.0,-1
2019,12,26,246,117700.0,-1.0,1
2019,12,29,247,116880.0,1.0,1
