2020.07.11 20:10:43.663	2017.12.28 17:00:03   ANO,MES,DIA,ID,CT0,GAP0,R
2017,6,12,109,-0.7523809523809524,-70.0,0
2017,6,13,110,-0.3839662447257384,295.0,-1
2017,6,14,111,-0.3174603174603174,1105.0,-1
2017,6,16,112,-0.05092592592592592,-130.0,0
2017,6,19,113,-0.02479338842975207,135.0,-1
2017,6,20,114,0.3602941176470588,-225.0,1
2017,6,21,115,-0.9966996699669967,260.0,-1
2017,6,22,116,0.1258741258741259,55.0,-1
2017,6,23,117,0.6611570247933884,-115.0,0
2017,6,26,118,-0.1473684210526316,225.0,-1
2017,6,27,119,0.9845559845559846,-445.0,0
2017,6,28,120,-0.6065573770491803,50.0,0
2017,6,29,121,0.3873239436619718,435.0,0
2017,6,30,122,-0.1145833333333333,250.0,-1
2017,7,3,123,0.1910828025477707,250.0,0
2017,7,4,124,0.2828282828282828,-145.0,-1
2017,7,5,125,0.7352941176470589,-95.0,0
2017,7,6,126,-0.1455696202531646,-190.0,0
2017,7,7,127,-0.7975460122699386,195.0,0
2017,7,10,128,-0.1522842639593909,90.0,-1
2017,7,11,129,0.8441558441558441,-130.0,-1
2017,7,12,130,0.7596153846153846,115.0,-1
2017,7,13,131,0.7586206896551724,-145.0,-1
2017,7,14,132,0.84375,-15.0,0
2017,7,17,133,0.5094339622641509,25.0,0
2017,7,18,134,-0.8103448275862069,-65.0,0
2017,7,19,135,0.7115384615384616,-5.0,0
2017,7,20,136,-0.3076923076923077,5.0,0
2017,7,21,137,-0.4477611940298508,-55.0,0
2017,7,24,138,-0.4298245614035088,0.0,0
2017,7,25,139,0.8807339449541285,420.0,0
2017,7,26,140,-0.0119047619047619,50.0,0
2017,7,27,141,-0.7897196261682243,280.0,0
2017,7,28,142,0.188034188034188,-255.0,-1
2017,7,31,143,0.8405797101449275,330.0,0
2017,8,1,144,-0.6363636363636364,345.0,-1
2017,8,2,145,0.8357142857142857,-255.0,-1
2017,8,3,146,0.7571428571428571,-15.0,0
2017,8,4,147,-0.967741935483871,90.0,0
2017,8,7,148,0.0,145.0,-1
2017,8,8,149,0.932806324110672,-325.0,-1
2017,8,9,150,0.07100591715976332,-450.0,-1
2017,8,10,151,0.6752136752136753,-400.0,0
2017,8,11,152,-0.5736842105263158,-265.0,-1
2017,8,14,153,0.09782608695652174,530.0,-1
2017,8,15,154,0.6842105263157895,0.0,-1
2017,8,16,155,0.4453781512605042,1045.0,0
2017,8,17,156,-0.2695035460992908,-200.0,0
2017,8,18,157,-0.5972222222222222,0.0,-1
2017,8,21,158,0.825136612021858,205.0,0
2017,8,22,159,-0.456,835.0,-1
2017,8,23,160,0.9322033898305084,-440.0,-1
2017,8,24,161,0.06617647058823529,80.0,-1
2017,8,25,162,0.9303482587064676,150.0,0
2017,8,28,163,-0.5586206896551724,-110.0,0
2017,8,29,164,0.1495327102803738,-485.0,-1
2017,8,30,165,0.8309178743961353,5.0,0
2017,8,31,166,-0.9261363636363636,385.0,0
2017,9,1,167,-0.5535714285714286,330.0,-1
2017,9,4,168,0.7876447876447876,-370.0,-1
2017,9,5,169,0.9022556390977443,710.0,1
2017,9,6,170,-0.5936395759717314,415.0,-1
2017,9,8,171,0.8851851851851852,-25.0,0
2017,9,11,172,-0.6111111111111112,395.0,-1
2017,9,12,173,0.728448275862069,-80.0,-1
2017,9,13,174,0.2287822878228782,-360.0,-1
2017,9,14,175,0.6865671641791045,-350.0,-1
2017,9,15,176,-0.2966101694915254,-25.0,-1
2017,9,18,177,0.824773413897281,-70.0,-1
2017,9,19,178,0.2183908045977012,-5.0,0
2017,9,20,179,0.02392344497607655,95.0,1
2017,9,21,180,-0.09859154929577464,-250.0,0
2017,9,22,181,-0.1754385964912281,-160.0,-1
2017,9,25,182,-0.3154362416107382,-5.0,-1
2017,9,26,183,-0.8391304347826087,220.0,-1
2017,9,27,184,-0.3976608187134503,75.0,1
2017,9,28,185,-0.2760736196319019,-210.0,-1
2017,9,29,186,-0.4076433121019108,330.0,-1
2017,10,2,187,0.6931216931216931,240.0,-1
2017,10,3,188,-0.3414634146341464,335.0,-1
2017,10,4,189,0.8802395209580839,-215.0,-1
2017,10,5,190,-0.0948905109489051,175.0,-1
2017,10,6,191,-0.207977207977208,40.0,0
2017,10,9,192,-0.4007936507936508,330.0,0
2017,10,10,193,-0.2840466926070039,260.0,-1
2017,10,11,194,0.4742268041237113,30.0,0
2017,10,13,195,-0.1517241379310345,310.0,0
2017,10,16,196,-0.1156462585034014,330.0,0
2017,10,17,197,-0.6162790697674418,-55.0,0
2017,10,18,198,-0.554945054945055,935.0,-1
2017,10,19,199,0.335483870967742,-525.0,0
2017,10,20,200,0.1256038647342995,340.0,-1
2017,10,23,201,-0.5033112582781457,330.0,0
2017,10,24,202,-0.8705035971223022,130.0,-1
2017,10,25,203,0.8133971291866029,100.0,1
2017,10,26,204,0.07861635220125786,270.0,1
2017,10,27,205,-0.7316176470588235,250.0,-1
2017,10,30,206,-0.2863436123348018,-225.0,1
2017,10,31,207,-0.5936507936507937,135.0,0
2017,11,1,208,-0.7177033492822966,575.0,1
2017,11,3,209,-0.6927899686520376,370.0,0
2017,11,6,210,-0.1133603238866397,365.0,0
2017,11,7,211,-0.02255639097744361,-45.0,1
2017,11,8,212,-0.93,355.0,-1
2017,11,9,213,0.7969543147208121,-125.0,1
2017,11,10,214,-0.8048780487804879,-215.0,1
2017,11,13,215,-0.288135593220339,-220.0,-1
2017,11,14,216,0.3035714285714285,75.0,1
2017,11,16,217,-0.7831858407079646,355.0,-1
2017,11,17,218,0.643979057591623,-120.0,-1
2017,11,21,219,0.752851711026616,600.0,-1
2017,11,22,220,0.4083333333333333,180.0,-1
2017,11,23,221,-0.138728323699422,-65.0,-1
2017,11,24,222,-0.1005917159763314,200.0,0
2017,11,27,223,-0.8947368421052632,55.0,-1
2017,11,28,224,0.06334841628959276,220.0,-1
2017,11,29,225,-0.06842105263157895,-155.0,1
2017,11,30,226,-0.8067885117493473,330.0,-1
2017,12,1,227,-0.6956521739130435,-195.0,-1
2017,12,4,228,0.4464944649446494,495.0,-1
2017,12,5,229,0.1302816901408451,-60.0,-1
2017,12,6,230,-0.233502538071066,-320.0,-1
2017,12,7,231,0.7951070336391437,-380.0,-1
2017,12,8,232,-0.3567567567567568,770.0,-1
2017,12,11,233,-0.6420454545454546,370.0,0
2017,12,12,234,-0.02564102564102564,-185.0,-1
2017,12,13,235,0.5671077504725898,795.0,1
2017,12,14,236,-0.5824175824175825,-345.0,-1
2017,12,15,237,-0.1028571428571429,-225.0,-1
2017,12,18,238,0.1861471861471861,475.0,-1
2017,12,19,239,0.4743589743589743,-130.0,0
2017,12,20,240,-0.6067415730337079,0.0,-1
2017,12,21,241,0.900523560209424,140.0,-1
2017,12,22,242,0.7581395348837209,-220.0,-1
2017,12,26,243,0.4364640883977901,-255.0,-1
2017,12,27,244,0.7165775401069518,140.0,-1
2017,12,28,245,0.01041666666666667,275.0,0
