ID,CT,GAP,R
1,0.6135135135135135,-295.0,-1
2,0.8302300109529025,-490.0,-1
3,0.3790087463556852,335.0,1
4,0.1136363636363636,-45.0,-1
5,-0.1187739463601533,445.0,1
6,-0.03361344537815126,540.0,-1
7,0.7859778597785978,-455.0,-1
8,0.7025641025641025,-110.0,1
9,-0.6279069767441861,-125.0,-1
10,0.8785714285714286,15.0,1
11,-0.3134328358208955,-90.0,1
12,-0.006666666666666667,-180.0,-1
13,0.7431693989071039,280.0,-1
14,0.512396694214876,-285.0,1
15,0.296551724137931,-645.0,1
16,-0.6204620462046204,710.0,-1
17,0.8846153846153846,-10.0,-1
18,0.9283018867924528,-1730.0,1
19,-0.4781491002570694,895.0,-1
20,0.09642857142857143,1210.0,1
21,0.4326241134751773,740.0,-1
22,0.02521008403361345,-215.0,-1
23,0.555045871559633,-505.0,1
24,0.0,-145.0,1
25,-0.07881773399014778,-1145.0,1
26,-0.9237170596393898,420.0,-1
27,-0.1689814814814815,-475.0,-1
28,0.4220183486238532,780.0,1
29,-0.6067653276955602,1185.0,-1
30,0.5899705014749262,1760.0,1
31,-0.2693602693602694,180.0,1
32,0.5695266272189349,-235.0,1
33,-0.3046875,-410.0,1
34,-0.5422885572139303,410.0,-1
35,0.4835680751173709,615.0,-1
36,-0.378619153674833,45.0,1
37,-0.02359882005899705,505.0,-1
38,0.3306451612903226,305.0,1
39,-0.7285223367697594,-155.0,-1
40,0.3930131004366812,105.0,1
41,-0.1513513513513514,270.0,1
42,-0.8730853391684902,505.0,1
43,-0.2193877551020408,-40.0,1
44,0.6054054054054054,-695.0,1
45,0.5754923413566739,340.0,-1
46,0.8805394990366089,215.0,1
47,0.09333333333333334,-265.0,-1
48,0.2010050251256282,310.0,1
49,-0.225,-35.0,-1
50,-0.1268115942028986,600.0,-1
51,0.8833333333333333,130.0,1
52,-0.51931330472103,-245.0,1
53,-0.8568507157464212,340.0,1
54,-0.2027027027027027,-2090.0,-1
55,-0.8333333333333334,-345.0,-1
56,0.704331450094162,655.0,1
57,0.2170087976539589,-775.0,1
58,-0.873341375150784,1300.0,-1
59,0.8719153936545241,1175.0,1
60,0.01282051282051282,1245.0,1
61,-0.2477064220183486,565.0,1
62,-0.4621212121212121,840.0,1
63,-0.6279069767441861,210.0,1
64,0.6863157894736842,230.0,1
65,0.4320557491289199,60.0,1
66,0.1065989847715736,-560.0,1
67,-0.4365781710914454,575.0,1
68,-0.8178438661710037,-95.0,1
69,-0.3138888888888889,-1755.0,-1
70,-0.2748917748917749,695.0,1
71,-0.4279475982532751,-30.0,-1
72,0.4901960784313725,1105.0,1
73,-0.4095744680851064,420.0,1
74,0.05235602094240838,10.0,1
75,0.2482269503546099,505.0,-1
76,0.6915254237288135,-90.0,1
77,-0.5354166666666667,-380.0,1
78,0.4506172839506173,120.0,1
79,-0.02489626556016597,660.0,1
80,-0.2446351931330472,325.0,1
81,-0.0847457627118644,-700.0,1
82,-0.3802816901408451,550.0,-1
83,0.2704918032786885,-1145.0,-1
84,-0.05833333333333333,-265.0,1
85,0.09859154929577464,200.0,-1
86,0.511166253101737,-580.0,1
87,-0.2122302158273381,-270.0,1
88,-0.3008356545961003,-1615.0,-1
89,-1.0,1705.0,1
90,0.3409090909090909,-1175.0,1
91,-0.132258064516129,-45.0,1
92,-0.762589928057554,-510.0,-1
93,0.3507109004739337,-220.0,-1
94,0.9808429118773946,75.0,1
95,0.8213627992633518,155.0,1
96,0.2382671480144404,-895.0,1
97,0.3308823529411765,720.0,1
98,-0.6913183279742765,920.0,-1
99,0.656957928802589,45.0,-1
100,0.6875,-645.0,-1
101,0.341726618705036,260.0,-1
102,0.6565934065934066,-635.0,-1
103,0.04797047970479705,415.0,1
104,0.1801470588235294,505.0,1
105,0.1098901098901099,-30.0,1
106,-0.6814159292035398,620.0,1
107,0.2099644128113879,805.0,-1
108,0.496,-575.0,1
109,-0.2455357142857143,950.0,-1
110,1.0,800.0,1
111,-0.07432432432432433,490.0,1
112,0.06806282722513089,-415.0,1
113,-0.6032786885245902,220.0,-1
114,-0.01714285714285714,890.0,-1
115,0.9356060606060606,-255.0,-1
116,0.6964856230031949,710.0,-1
117,0.876984126984127,185.0,1
118,0.04608294930875576,-470.0,1
119,-0.9509594882729211,865.0,-1
120,-0.1116279069767442,-570.0,1
121,0.1942857142857143,820.0,1
122,-0.3402489626556017,1535.0,1
123,-0.4693140794223827,10.0,1
124,-0.4525139664804469,-270.0,-1
125,0.5579567779960707,1035.0,-1
126,0.6752577319587629,-300.0,1
127,0.3385093167701863,120.0,-1
128,0.797979797979798,800.0,-1
129,0.08813559322033898,165.0,1
130,-0.7021857923497268,465.0,1
131,-0.5552884615384616,650.0,1
132,-0.1609195402298851,-115.0,1
133,-0.326271186440678,225.0,1
134,-0.1538461538461539,160.0,-1
135,0.9236641221374046,-280.0,1
136,-0.9479166666666666,480.0,-1
137,0.467948717948718,360.0,1
138,-0.2453703703703704,-150.0,-1
139,0.1620111731843575,440.0,1
140,-0.7322654462242563,390.0,1
141,-0.2638297872340425,0.0,-1
142,0.4596774193548387,-595.0,1
143,-0.3349282296650718,415.0,1
144,-0.5686274509803921,570.0,-1
145,-0.2021739130434783,315.0,-1
146,0.6778350515463918,-2025.0,1
147,-0.7819767441860465,1115.0,-1
148,0.8409785932721713,-1010.0,1
149,0.1036468330134357,815.0,1
150,0.9283018867924528,-360.0,-1
151,0.0,-1565.0,1
152,-0.8795986622073578,-120.0,-1
153,0.7959183673469388,-515.0,1
154,-0.8228941684665226,915.0,1
155,-0.5087440381558028,1125.0,1
156,0.06688963210702341,805.0,1
157,-0.7550561797752809,330.0,1
158,-0.194647201946472,1180.0,1
159,0.7871287128712872,135.0,1
160,-0.5955678670360111,-940.0,1
161,-0.7926829268292683,795.0,1
162,-0.8333333333333334,1735.0,-1
163,0.5263157894736842,-725.0,-1
164,0.5116279069767442,1095.0,-1
165,0.9780439121756487,335.0,1
166,0.3585858585858586,-440.0,1
167,-0.6322314049586777,-395.0,-1
168,-0.1787330316742081,1095.0,1
169,-0.1075268817204301,1055.0,-1
170,0.1047904191616766,710.0,-1
171,0.6097560975609756,335.0,-1
172,-0.1118421052631579,-25.0,1
173,-0.03436426116838488,785.0,1
174,0.2248803827751196,795.0,1
175,-0.1066666666666667,490.0,1
176,-0.7386018237082067,280.0,1
177,0.3,-640.0,-1
178,0.8144329896907216,-315.0,1
179,-0.2565055762081784,890.0,-1
180,-0.418421052631579,375.0,1
