ANO,MES,DIA,ID,C,R,X
2020,1,1,1,115770.0,1.0,-1
2020,1,2,2,119100.0,-1.0,-1
2020,1,5,3,118285.0,-1.0,1
2020,1,6,4,117360.0,1.0,1
2020,1,7,5,117110.0,1.0,1
2020,1,8,6,116295.0,1.0,-1
2020,1,9,7,116355.0,1.0,1
2020,1,12,8,115940.0,1.0,-1
2020,1,13,9,117875.0,-1.0,-1
2020,1,14,10,117900.0,-1.0,1
2020,1,15,11,116790.0,1.0,1
2020,1,16,12,117030.0,1.0,-1
2020,1,19,13,118800.0,-1.0,-1
2020,1,20,14,119090.0,-1.0,1
2020,1,21,15,117210.0,1.0,-1
2020,1,22,16,118550.0,-1.0,1
2020,1,23,17,119785.0,-1.0,1
2020,1,26,18,118500.0,1.0,1
2020,1,27,19,114670.0,1.0,-1
2020,1,28,20,116585.0,-1.0,1
2020,1,29,21,115540.0,1.0,1
2020,1,30,22,115500.0,-1.0,1
2020,2,2,23,113880.0,1.0,1
2020,2,3,24,114760.0,-1.0,1
2020,2,4,25,115670.0,1.0,-1
2020,2,5,26,116450.0,1.0,1
2020,2,6,27,115250.0,1.0,-1
2020,2,9,28,113570.0,1.0,-1
2020,2,10,29,113105.0,1.0,-1
2020,2,11,30,115420.0,-1.0,-1
2020,2,12,31,117350.0,-1.0,1
2020,2,13,32,116195.0,-1.0,1
2020,2,16,33,114975.0,1.0,-1
2020,2,17,34,115700.0,-1.0,1
2020,2,18,35,115760.0,-1.0,-1
2020,2,19,36,116980.0,-1.0,1
2020,2,20,37,114900.0,1.0,1
2020,2,26,38,106085.0,1.0,-1
2020,2,27,39,103070.0,1.0,1
2020,3,1,40,104915.0,-1.0,-1
2020,3,2,41,107500.0,-1.0,1
2020,3,3,42,105600.0,1.0,1
2020,3,4,43,107415.0,1.0,1
2020,3,5,44,102600.0,1.0,-1
2020,3,8,45,98040.0,1.0,1
2020,3,9,46,86080.0,1.0,-1
2020,3,10,47,92625.0,-1.0,-1
2020,3,11,48,80580.0,1.0,1
2020,3,12,49,72125.0,1.0,1
2020,3,15,50,80020.0,-1.0,1
2020,3,16,51,70280.0,1.0,-1
2020,3,17,52,73300.0,-1.0,-1
2020,3,18,53,68100.0,-1.0,-1
2020,3,19,54,65500.0,1.0,-1
2020,3,22,55,66390.0,1.0,1
2020,3,23,56,63920.0,1.0,-1
2020,3,24,57,69000.0,-1.0,-1
2020,3,25,58,74600.0,-1.0,-1
2020,3,26,59,77650.0,-1.0,1
2020,3,29,60,73450.0,1.0,1
2020,3,30,61,75160.0,-1.0,-1
2020,4,0,62,71950.0,1.0,-1
2020,4,1,63,71200.0,-1.0,1
2020,4,2,64,72250.0,1.0,1
2020,4,5,65,69300.0,1.0,-1
2020,4,6,66,74400.0,-1.0,-1
2020,4,7,67,76595.0,1.0,-1
2020,4,8,68,79090.0,-1.0,-1
2020,4,12,69,78190.0,1.0,-1
2020,4,13,70,79255.0,-1.0,-1
2020,4,14,71,80185.0,1.0,-1
2020,4,15,72,79520.0,-1.0,1
2020,4,16,73,79365.0,1.0,1
2020,4,19,74,79300.0,1.0,-1
2020,4,21,75,79550.0,-1.0,-1
2020,4,22,76,80515.0,-1.0,1
2020,4,23,77,79550.0,1.0,1
2020,4,26,78,76800.0,1.0,-1
2020,4,27,79,78250.0,-1.0,-1
2020,4,28,80,81530.0,-1.0,1
2020,4,29,81,84240.0,-1.0,1
2020,5,3,82,80100.0,1.0,-1
2020,5,4,83,79090.0,-1.0,-1
2020,5,5,84,80300.0,-1.0,1
2020,5,6,85,78745.0,1.0,1
2020,5,7,86,78870.0,1.0,-1
2020,5,10,87,80615.0,-1.0,-1
2020,5,11,88,79000.0,1.0,-1
2020,5,12,89,77600.0,1.0,1
2020,5,13,90,78500.0,1.0,1
2020,5,14,91,79405.0,-1.0,-1
2020,5,17,92,77590.0,1.0,-1
2020,5,18,93,81490.0,-1.0,1
2020,5,19,94,80900.0,1.0,-1
2020,5,20,95,81615.0,1.0,-1
2020,5,21,96,83280.0,-1.0,-1
2020,5,24,97,84310.0,-1.0,-1
2020,5,25,98,86010.0,-1.0,1
2020,5,26,99,86085.0,1.0,1
2020,5,27,100,88105.0,-1.0,1
2020,5,28,101,86595.0,1.0,1
2020,6,0,102,87570.0,-1.0,-1
2020,6,1,103,88830.0,-1.0,-1
2020,6,2,104,91470.0,-1.0,-1
2020,6,3,105,92670.0,-1.0,-1
2020,6,4,106,93815.0,-1.0,-1
2020,6,7,107,94450.0,1.0,-1
2020,6,8,108,97665.0,-1.0,-1
2020,6,9,109,96520.0,1.0,1
2020,6,11,110,94325.0,1.0,-1
2020,6,14,111,92995.0,-1.0,-1
2020,6,15,112,92520.0,-1.0,1
2020,6,16,113,93700.0,1.0,-1
