ANO,MES,DIA,ID,C,R,X
2018,7,16,133,77170.0,-1.0,-1
2018,7,17,134,78410.0,-1.0,1
2018,7,18,135,77400.0,1.0,1
2018,7,19,136,78900.0,-1.0,1
2018,7,22,137,78585.0,1.0,1
2018,7,23,138,78085.0,1.0,-1
2018,7,24,139,79340.0,-1.0,-1
2018,7,25,140,80480.0,-1.0,1
2018,7,26,141,79850.0,1.0,-1
2018,7,29,142,80250.0,-1.0,1
2018,7,30,143,80400.0,-1.0,1
2018,8,0,144,79300.0,1.0,-1
2018,8,1,145,79420.0,-1.0,-1
2018,8,2,146,79980.0,-1.0,-1
2018,8,5,147,81530.0,-1.0,1
2018,8,6,148,81035.0,1.0,1
2018,8,7,149,80700.0,1.0,-1
2018,8,8,150,78840.0,1.0,1
2018,8,9,151,78705.0,1.0,1
2018,8,12,152,76400.0,1.0,-1
2018,8,13,153,77820.0,-1.0,1
2018,8,14,154,78400.0,-1.0,1
2018,8,15,155,77515.0,1.0,1
2018,8,16,156,77580.0,1.0,-1
2018,8,19,157,76495.0,1.0,-1
2018,8,20,158,77040.0,-1.0,1
2018,8,21,159,75310.0,1.0,-1
2018,8,22,160,77700.0,-1.0,1
2018,8,23,161,76300.0,1.0,1
2018,8,26,162,77000.0,-1.0,-1
2018,8,27,163,78130.0,-1.0,1
2018,8,28,164,78450.0,-1.0,-1
2018,8,29,165,79195.0,-1.0,1
2018,8,30,166,76470.0,1.0,-1
2018,9,2,167,77150.0,-1.0,-1
2018,9,3,168,76610.0,1.0,1
2018,9,4,169,74945.0,1.0,-1
2018,9,5,170,75200.0,-1.0,1
2018,9,9,171,77410.0,-1.0,1
2018,9,10,172,76920.0,1.0,1
2018,9,11,173,75255.0,1.0,1
2018,9,12,174,75230.0,1.0,1
2018,9,13,175,74800.0,1.0,-1
2018,9,16,176,75850.0,-1.0,-1
2018,9,17,177,77045.0,-1.0,-1
2018,9,18,178,78050.0,-1.0,-1
2018,9,19,179,78280.0,-1.0,1
2018,9,20,180,78420.0,1.0,-1
2018,9,23,181,79380.0,-1.0,1
2018,9,24,182,78210.0,1.0,-1
2018,9,25,183,79000.0,-1.0,-1
2018,9,26,184,78715.0,1.0,-1
2018,9,27,185,79890.0,-1.0,-1
2018,10,0,186,79350.0,1.0,1
2018,10,1,187,79000.0,1.0,-1
2018,10,2,188,81940.0,-1.0,1
2018,10,3,189,83790.0,1.0,1
2018,10,4,190,83060.0,-1.0,1
2018,10,7,191,82780.0,1.0,1
2018,10,8,192,86275.0,1.0,1
2018,10,9,193,85915.0,-1.0,1
2018,10,10,194,83550.0,1.0,1
2018,10,14,195,83605.0,1.0,1
2018,10,15,196,83040.0,1.0,-1
2018,10,16,197,85895.0,-1.0,-1
2018,10,17,198,86500.0,-1.0,1
2018,10,18,199,84500.0,1.0,1
2018,10,21,200,85095.0,1.0,-1
2018,10,22,201,86155.0,-1.0,-1
2018,10,23,202,86300.0,-1.0,1
2018,10,24,203,83710.0,1.0,-1
2018,10,25,204,84270.0,-1.0,1
2018,10,28,205,86600.0,-1.0,1
2018,10,29,206,83980.0,1.0,1
2018,10,30,207,87555.0,-1.0,1
2018,11,0,208,87700.0,1.0,1
2018,11,4,209,88470.0,1.0,-1
2018,11,5,210,89950.0,-1.0,-1
2018,11,6,211,89160.0,1.0,1
2018,11,7,212,88400.0,1.0,1
2018,11,8,213,86030.0,1.0,-1
2018,11,11,214,86280.0,-1.0,1
2018,11,12,215,86080.0,-1.0,1
2018,11,13,216,85370.0,1.0,1
2018,11,15,217,86300.0,-1.0,1
2018,11,18,218,88840.0,-1.0,1
2018,11,20,219,88200.0,1.0,-1
2018,11,21,220,87550.0,-1.0,-1
2018,11,22,221,87700.0,-1.0,1
2018,11,25,222,86340.0,1.0,1
2018,11,26,223,85630.0,1.0,1
2018,11,27,224,87970.0,-1.0,-1
2018,11,28,225,89230.0,-1.0,-1
2018,11,29,226,89730.0,-1.0,-1
2018,12,2,227,89605.0,-1.0,1
2018,12,3,228,89770.0,1.0,1
2018,12,4,229,88600.0,1.0,1
2018,12,5,230,89110.0,-1.0,-1
2018,12,6,231,88940.0,-1.0,-1
2018,12,9,232,88010.0,1.0,-1
2018,12,10,233,85850.0,1.0,1
2018,12,11,234,86615.0,-1.0,-1
2018,12,12,235,87950.0,-1.0,-1
2018,12,13,236,88560.0,-1.0,-1
2018,12,16,237,88005.0,-1.0,1
2018,12,17,238,87115.0,1.0,-1
2018,12,18,239,87385.0,-1.0,-1
2018,12,19,240,86100.0,1.0,1
2018,12,20,241,86365.0,-1.0,-1
2018,12,25,242,86000.0,1.0,1
2018,12,26,243,85735.0,1.0,-1
2018,12,27,244,86110.0,-1.0,-1
